"Location_ID","County_Name","County_FIPS","State_ID","State_Name","Latitude","Longitude"
1,"Item","Item","Item","Item","Item","Item"
2,"Item","Item","Item","Item","Item","Item"
3,"Item","Item","Item","Item","Item","Item"
4,"Item","Item","Item","Item","Item","Item"
5,"Item","Item","Item","Item","Item","Item"
6,"Item","Item","Item","Item","Item","Item"
7,"Item","Item","Item","Item","Item","Item"
8,"Item","Item","Item","Item","Item","Item"
9,"Item","Item","Item","Item","Item","Item"
10,"Item","Item","Item","Item","Item","Item"
11,"Item","Item","Item","Item","Item","Item"
12,"Item","Item","Item","Item","Item","Item"
13,"Item","Item","Item","Item","Item","Item"
14,"Item","Item","Item","Item","Item","Item"
15,"Item","Item","Item","Item","Item","Item"
16,"Item","Item","Item","Item","Item","Item"
17,"Item","Item","Item","Item","Item","Item"
18,"Item","Item","Item","Item","Item","Item"
19,"Item","Item","Item","Item","Item","Item"
20,"Item","Item","Item","Item","Item","Item"
21,"Item","Item","Item","Item","Item","Item"
22,"Item","Item","Item","Item","Item","Item"
23,"Item","Item","Item","Item","Item","Item"
24,"Item","Item","Item","Item","Item","Item"
25,"Item","Item","Item","Item","Item","Item"
26,"Item","Item","Item","Item","Item","Item"
27,"Item","Item","Item","Item","Item","Item"
28,"Item","Item","Item","Item","Item","Item"
29,"Item","Item","Item","Item","Item","Item"
30,"Item","Item","Item","Item","Item","Item"
31,"Item","Item","Item","Item","Item","Item"
32,"Item","Item","Item","Item","Item","Item"
33,"Item","Item","Item","Item","Item","Item"
34,"Item","Item","Item","Item","Item","Item"
35,"Item","Item","Item","Item","Item","Item"
36,"Item","Item","Item","Item","Item","Item"
37,"Item","Item","Item","Item","Item","Item"
38,"Item","Item","Item","Item","Item","Item"
39,"Item","Item","Item","Item","Item","Item"
40,"Item","Item","Item","Item","Item","Item"
41,"Item","Item","Item","Item","Item","Item"
42,"Item","Item","Item","Item","Item","Item"
43,"Item","Item","Item","Item","Item","Item"
44,"Item","Item","Item","Item","Item","Item"
45,"Item","Item","Item","Item","Item","Item"
46,"Item","Item","Item","Item","Item","Item"
47,"Item","Item","Item","Item","Item","Item"
48,"Item","Item","Item","Item","Item","Item"
49,"Item","Item","Item","Item","Item","Item"
50,"Item","Item","Item","Item","Item","Item"
51,"Item","Item","Item","Item","Item","Item"
52,"Item","Item","Item","Item","Item","Item"
53,"Item","Item","Item","Item","Item","Item"
54,"Item","Item","Item","Item","Item","Item"
55,"Item","Item","Item","Item","Item","Item"
56,"Item","Item","Item","Item","Item","Item"
57,"Item","Item","Item","Item","Item","Item"
58,"Item","Item","Item","Item","Item","Item"
59,"Item","Item","Item","Item","Item","Item"
60,"Item","Item","Item","Item","Item","Item"
61,"Item","Item","Item","Item","Item","Item"
62,"Item","Item","Item","Item","Item","Item"
63,"Item","Item","Item","Item","Item","Item"
64,"Item","Item","Item","Item","Item","Item"
65,"Item","Item","Item","Item","Item","Item"
66,"Item","Item","Item","Item","Item","Item"
67,"Item","Item","Item","Item","Item","Item"
68,"Item","Item","Item","Item","Item","Item"
69,"Item","Item","Item","Item","Item","Item"
70,"Item","Item","Item","Item","Item","Item"
71,"Item","Item","Item","Item","Item","Item"
72,"Item","Item","Item","Item","Item","Item"
73,"Item","Item","Item","Item","Item","Item"
74,"Item","Item","Item","Item","Item","Item"
75,"Item","Item","Item","Item","Item","Item"
76,"Item","Item","Item","Item","Item","Item"
77,"Item","Item","Item","Item","Item","Item"
78,"Item","Item","Item","Item","Item","Item"
79,"Item","Item","Item","Item","Item","Item"
80,"Item","Item","Item","Item","Item","Item"
81,"Item","Item","Item","Item","Item","Item"
82,"Item","Item","Item","Item","Item","Item"
83,"Item","Item","Item","Item","Item","Item"
84,"Item","Item","Item","Item","Item","Item"
85,"Item","Item","Item","Item","Item","Item"
86,"Item","Item","Item","Item","Item","Item"
87,"Item","Item","Item","Item","Item","Item"
88,"Item","Item","Item","Item","Item","Item"
89,"Item","Item","Item","Item","Item","Item"
90,"Item","Item","Item","Item","Item","Item"
91,"Item","Item","Item","Item","Item","Item"
92,"Item","Item","Item","Item","Item","Item"
93,"Item","Item","Item","Item","Item","Item"
94,"Item","Item","Item","Item","Item","Item"
95,"Item","Item","Item","Item","Item","Item"
96,"Item","Item","Item","Item","Item","Item"
97,"Item","Item","Item","Item","Item","Item"
98,"Item","Item","Item","Item","Item","Item"
99,"Item","Item","Item","Item","Item","Item"
100,"Item","Item","Item","Item","Item","Item"
101,"Item","Item","Item","Item","Item","Item"
102,"Item","Item","Item","Item","Item","Item"
103,"Item","Item","Item","Item","Item","Item"
104,"Item","Item","Item","Item","Item","Item"
105,"Item","Item","Item","Item","Item","Item"
106,"Item","Item","Item","Item","Item","Item"
107,"Item","Item","Item","Item","Item","Item"
108,"Item","Item","Item","Item","Item","Item"
109,"Item","Item","Item","Item","Item","Item"
110,"Item","Item","Item","Item","Item","Item"
111,"Item","Item","Item","Item","Item","Item"
112,"Item","Item","Item","Item","Item","Item"
113,"Item","Item","Item","Item","Item","Item"
114,"Item","Item","Item","Item","Item","Item"
115,"Item","Item","Item","Item","Item","Item"
116,"Item","Item","Item","Item","Item","Item"
117,"Item","Item","Item","Item","Item","Item"
118,"Item","Item","Item","Item","Item","Item"
119,"Item","Item","Item","Item","Item","Item"
120,"Item","Item","Item","Item","Item","Item"
121,"Item","Item","Item","Item","Item","Item"
122,"Item","Item","Item","Item","Item","Item"
123,"Item","Item","Item","Item","Item","Item"
124,"Item","Item","Item","Item","Item","Item"
125,"Item","Item","Item","Item","Item","Item"
126,"Item","Item","Item","Item","Item","Item"
127,"Item","Item","Item","Item","Item","Item"
128,"Item","Item","Item","Item","Item","Item"
129,"Item","Item","Item","Item","Item","Item"
130,"Item","Item","Item","Item","Item","Item"
131,"Item","Item","Item","Item","Item","Item"
132,"Item","Item","Item","Item","Item","Item"
133,"Item","Item","Item","Item","Item","Item"
134,"Item","Item","Item","Item","Item","Item"
135,"Item","Item","Item","Item","Item","Item"
136,"Item","Item","Item","Item","Item","Item"
137,"Item","Item","Item","Item","Item","Item"
138,"Item","Item","Item","Item","Item","Item"
139,"Item","Item","Item","Item","Item","Item"
